uuid,questionOrder0,optionOrder0,optionPicked0,questionOrder1,optionOrder1,optionPicked1,questionOrder2,optionOrder2,optionPicked2,questionOrder3,optionOrder3,optionPicked3,questionOrder4,optionOrder4,optionPicked4,questionOrder5,optionOrder5,optionPicked5,questionOrder6,optionOrder6,optionPicked6,questionOrder7,optionOrder7,optionPicked7,questionOrder8,optionOrder8,optionPicked8,questionOrder9,optionOrder9,optionPicked9,questionOrder10,optionOrder10,optionPicked10,questionOrder11,optionOrder11,optionPicked11,questionOrder12,optionOrder12,optionPicked12,questionOrder13,optionOrder13,optionPicked13,questionOrder14,optionOrder14,optionPicked14,questionOrder15,optionOrder15,optionPicked15,questionOrder16,optionOrder16,optionPicked16,questionOrder17,optionOrder17,optionPicked17,questionOrder18,optionOrder18,optionPicked18,questionOrder19,optionOrder19,optionPicked19,questionOrder20,optionOrder20,optionPicked20,questionOrder21,optionOrder21,optionPicked21,questionOrder22,optionOrder22,optionPicked22,questionOrder23,optionOrder23,optionPicked23,questionOrder24,optionOrder24,optionPicked24,questionOrder25,optionOrder25,optionPicked25,questionOrder26,optionOrder26,optionPicked26,questionOrder27,optionOrder27,optionPicked27,questionOrder28,optionOrder28,optionPicked28
1,18,0,1,7,1,0,23,2,2,14,3,0,27,2,3,28,0,0,15,4,2,22,1,0,6,0,1,19,2,1,0,0,0,20,1,2,1,6,3,16,0,1,17,0,1,9,2,1,8,0,1,21,0,0,24,3,3,2,5,5,4,0,0,3,0,0,10,1,1,26,1,0,12,0,1,13,2,2,11,0,1,25,4,1,5,2,1
2,13,3,1,23,0,1,17,5,2,15,4,0,5,0,3,22,0,0,28,5,0,1,1,1,16,1,1,27,2,2,6,0,0,3,1,2,4,1,4,21,0,1,11,1,0,7,5,3,9,1,0,12,0,0,8,4,1,2,1,4,19,0,1,18,0,1,20,1,0,25,1,0,24,0,1,0,3,2,10,0,0,14,0,0,26,0,1
3,3,3,1,25,0,1,20,0,2,8,3,0,22,2,3,9,0,0,26,4,3,19,0,0,11,0,1,13,3,3,28,4,0,14,3,5,0,4,3,18,1,0,10,1,0,7,0,4,1,1,0,27,1,0,17,1,1,12,1,4,24,0,1,5,1,0,21,0,2,15,0,0,23,0,1,6,4,2,2,0,0,4,4,3,16,0,1
4,10,2,1,19,0,1,18,2,2,2,1,0,1,2,3,27,1,0,17,1,3,5,1,0,24,1,1,7,0,1,26,0,0,9,5,2,20,4,4,12,1,1,0,0,0,23,3,4,16,1,0,3,1,0,15,2,4,22,4,4,25,0,1,4,1,0,21,1,0,13,0,0,28,1,1,11,2,5,14,1,1,8,3,1,6,1,1
5,23,3,0,13,1,1,22,1,4,2,1,0,14,2,1,24,0,0,21,4,3,5,1,0,11,1,1,7,0,0,12,3,0,10,3,2,19,1,3,20,1,1,27,1,0,16,4,2,0,-1,-1,26,1,1,28,4,4,17,2,0,15,0,0,6,1,0,3,2,0,1,-1,-1,4,0,0,9,4,0,25,1,1,18,3,0,8,1,0
6,24,0,3,26,0,1,5,2,0,27,1,0,10,3,1,15,0,0,23,3,1,19,0,0,21,1,1,7,3,2,9,5,0,4,2,2,22,3,5,8,0,0,17,0,1,20,1,5,14,0,0,13,1,0,3,3,0,28,5,0,1,1,0,11,0,0,18,0,0,16,0,0,2,1,1,6,1,3,0,0,0,25,4,2,12,2,1
7,28,3,1,5,0,1,17,3,1,14,2,1,18,0,3,26,1,0,0,5,5,15,0,1,6,0,1,9,1,2,25,1,3,20,0,2,24,1,4,27,1,0,22,1,0,10,5,5,4,1,1,1,1,1,8,5,2,12,0,5,19,0,0,21,0,1,13,2,0,7,1,0,23,1,1,3,0,5,2,0,1,11,1,1,16,0,1
8,4,3,1,13,1,1,16,2,0,0,2,0,15,3,3,25,0,0,10,2,5,8,0,0,17,1,1,23,0,2,21,1,0,28,5,2,3,0,5,24,1,1,6,0,0,14,0,1,1,0,1,2,0,0,27,3,5,9,4,5,11,0,0,12,0,1,22,2,2,20,1,0,7,0,0,5,2,3,18,0,1,26,3,1,19,1,0
9,6,2,1,8,1,1,5,5,2,19,2,0,16,1,3,3,0,0,25,5,3,10,1,0,20,1,1,1,2,1,14,5,0,13,4,2,21,3,5,4,1,0,28,0,0,0,3,4,9,1,1,17,1,1,7,0,3,12,3,5,24,0,1,2,1,0,26,1,0,15,1,1,18,0,1,23,5,4,27,1,1,11,2,4,22,0,1
10,21,2,1,8,0,1,11,1,2,19,2,1,13,3,3,7,0,0,4,5,5,3,1,0,23,0,1,18,1,2,26,3,0,9,2,2,27,2,3,6,0,0,22,1,0,2,5,3,17,0,1,10,0,1,20,3,4,0,4,5,14,1,1,5,1,0,12,0,0,1,1,0,25,0,1,16,5,3,24,0,0,15,4,1,28,1,1
11,27,2,1,22,1,1,3,2,2,19,4,0,5,2,0,2,0,0,1,1,3,13,0,0,7,0,1,24,-1,-1,28,0,0,14,3,5,23,6,1,11,1,0,17,0,1,16,-1,-1,6,0,0,26,1,1,4,0,5,9,2,5,21,0,1,25,1,0,20,0,0,18,1,0,0,0,1,12,2,3,15,1,1,8,0,1,10,0,1
12,7,0,1,12,0,0,6,5,1,22,0,1,10,1,3,14,0,1,16,5,4,9,1,1,15,0,0,19,0,2,24,1,0,13,1,2,11,0,5,25,1,0,8,0,0,1,4,1,28,1,0,3,0,0,0,3,2,17,2,4,2,0,0,23,0,0,21,1,0,18,1,0,26,1,1,20,2,0,5,1,1,27,1,0,4,1,1
13,4,1,1,1,0,1,21,0,2,20,4,0,18,2,3,6,0,0,16,4,3,8,1,0,7,1,1,19,1,2,9,1,1,24,0,2,10,6,4,23,1,1,27,1,0,11,1,0,12,0,0,3,1,0,22,1,2,15,4,4,25,1,0,26,0,1,14,2,0,2,1,0,0,0,1,5,0,2,13,1,1,17,0,1,28,2,1
14,19,2,1,14,1,1,23,2,2,16,4,0,3,0,3,12,1,1,24,5,3,18,0,0,4,1,1,5,0,3,6,1,3,20,2,2,9,6,4,11,1,0,8,0,0,25,1,2,22,1,1,15,0,1,10,0,4,28,3,4,7,1,1,0,0,1,21,0,0,17,0,0,26,1,1,27,2,2,2,0,0,13,1,1,1,1,0
15,8,2,1,13,1,1,11,0,5,26,2,2,1,3,3,27,1,0,12,3,5,18,0,1,20,1,1,14,3,0,24,0,0,7,1,1,15,6,5,6,1,1,10,1,1,22,1,2,25,1,0,5,0,1,0,2,5,23,3,4,3,0,0,21,0,0,19,1,0,28,0,0,16,1,0,4,3,0,9,1,0,2,0,1,17,0,0
16,11,3,1,14,0,1,17,0,2,23,3,0,3,0,3,2,0,0,16,4,4,22,0,0,25,0,1,8,1,1,20,1,4,4,1,3,21,3,4,15,0,0,28,1,0,27,5,4,10,1,0,9,0,1,6,2,3,0,3,5,1,1,1,5,0,0,19,0,0,13,0,0,24,0,0,12,2,0,7,0,1,18,3,1,26,2,1
17,2,0,2,0,1,1,25,5,2,4,4,1,8,0,3,1,1,0,19,2,5,21,1,0,24,0,1,15,0,1,28,4,2,27,3,2,16,3,4,18,0,0,26,0,0,22,4,1,17,0,0,11,0,1,13,4,2,6,3,4,7,1,0,23,1,1,10,1,0,12,1,0,5,1,1,3,0,0,20,0,0,9,0,1,14,2,1
18,9,0,1,4,0,0,24,4,2,27,4,0,17,3,3,21,0,0,19,3,3,6,0,0,22,1,0,13,2,2,12,1,0,3,4,2,16,1,4,10,1,1,11,0,0,20,4,2,15,1,0,7,1,0,18,3,1,5,1,4,0,1,1,1,0,1,25,2,2,26,0,0,8,0,1,14,2,0,23,1,1,2,3,1,28,1,1
20,8,0,1,11,0,1,20,1,2,27,0,0,22,1,3,12,1,0,2,3,4,0,0,1,16,1,0,9,0,1,28,1,0,5,5,1,25,4,3,21,0,0,18,1,0,19,2,1,17,1,0,23,1,1,13,3,1,4,2,5,6,1,0,10,0,0,24,1,0,26,1,0,15,0,1,1,4,2,3,1,1,14,1,1,7,1,0
21,27,2,1,15,1,1,8,0,2,10,0,1,6,0,3,28,1,0,7,4,3,11,0,0,26,0,0,21,1,2,19,4,0,17,4,2,16,1,3,2,0,0,20,1,0,22,3,1,1,0,1,3,1,0,24,1,2,23,1,4,4,0,1,13,0,1,5,2,0,25,1,0,12,0,1,0,2,2,14,1,1,9,3,4,18,1,0
22,5,0,0,22,0,1,1,1,2,21,3,0,20,3,3,10,0,0,3,1,3,14,0,0,9,0,1,4,2,2,2,3,0,23,3,2,16,1,3,6,1,1,13,1,0,8,1,2,11,1,0,19,1,0,7,3,4,25,5,4,26,0,1,27,0,0,18,1,0,24,0,0,0,1,0,12,3,5,15,0,1,28,1,0,17,2,1
23,1,1,1,15,0,1,21,4,2,13,0,1,26,0,3,14,0,0,27,4,1,17,1,0,8,1,0,4,3,1,5,4,0,6,2,2,2,6,3,10,1,0,19,0,0,22,4,2,20,0,0,9,0,0,7,3,1,0,0,4,25,1,1,12,1,0,11,0,0,23,1,0,28,1,1,24,1,3,16,0,1,3,0,1,18,0,0
24,1,1,2,0,1,1,16,2,5,15,0,1,26,0,3,19,0,1,3,5,5,18,1,0,11,1,0,27,2,2,28,5,0,21,4,1,22,5,3,2,0,1,25,1,0,8,5,5,4,1,0,7,0,1,20,3,3,23,3,0,6,1,1,24,0,1,12,2,0,10,0,0,14,0,0,9,4,0,13,0,1,5,3,1,17,2,0
25,18,2,1,19,1,1,16,5,2,27,1,0,28,3,3,3,0,0,4,0,4,11,0,1,13,1,1,22,0,2,17,3,0,23,3,1,0,2,3,2,0,1,15,0,0,24,1,1,12,0,1,10,1,0,21,3,5,1,2,4,25,1,0,26,0,1,20,1,1,14,1,0,5,1,1,9,4,2,6,0,0,8,1,1,7,2,1
26,4,0,1,20,1,1,21,3,2,24,2,0,26,2,3,17,0,0,13,5,0,0,1,1,14,0,1,27,3,2,7,4,2,22,4,5,8,0,5,5,0,0,9,1,0,18,0,5,12,0,0,10,0,0,23,3,3,16,3,4,3,0,1,28,0,0,2,0,0,19,0,0,15,1,1,1,5,5,11,0,1,25,2,0,6,1,0
27,23,1,1,4,1,1,2,4,2,16,4,4,12,0,3,18,1,0,25,2,3,10,0,0,6,1,1,24,1,3,11,0,0,8,4,2,21,0,0,14,1,1,20,1,0,5,3,2,1,1,0,7,0,1,3,4,4,28,5,5,26,1,1,15,0,1,17,1,0,13,1,0,9,1,0,22,1,2,27,1,1,19,0,4,0,2,0
28,2,3,0,6,0,1,5,1,4,4,0,0,10,2,3,12,0,0,26,5,1,27,1,0,13,0,1,0,1,1,11,3,0,28,4,1,18,5,4,22,1,1,16,1,0,14,1,3,20,0,0,25,1,1,8,5,4,15,2,4,19,1,0,1,1,1,3,2,0,21,1,0,17,1,0,23,1,5,9,0,1,7,1,0,24,1,0
29,18,0,3,24,1,1,19,2,3,3,3,0,2,1,1,1,0,0,22,2,0,12,0,0,4,1,1,14,2,3,5,1,0,23,0,2,11,6,4,13,0,0,26,0,0,15,4,1,20,1,0,17,0,1,10,1,1,16,5,4,21,1,0,7,1,1,25,1,0,27,1,0,0,1,1,6,2,2,9,1,0,8,2,1,28,1,1
30,0,0,1,22,0,1,16,4,1,25,0,1,13,3,3,20,0,0,6,2,3,15,0,0,18,1,1,7,3,2,1,1,1,28,1,5,23,5,5,2,0,0,4,1,1,8,0,1,17,0,1,10,1,0,19,2,5,11,0,0,21,0,1,24,0,1,27,1,0,3,0,0,9,0,1,14,5,2,12,1,1,5,0,1,26,1,0
31,2,0,1,1,1,1,26,2,2,22,1,0,11,3,1,7,1,0,0,0,5,21,0,0,10,1,1,4,0,2,24,1,3,15,5,2,14,0,3,25,1,0,17,1,0,28,0,2,9,1,0,12,1,1,8,1,2,3,5,0,16,1,1,27,0,1,20,2,2,13,1,0,23,1,0,5,4,5,6,1,1,19,0,1,18,2,0
32,7,0,1,27,1,1,8,1,2,9,0,0,23,0,3,1,0,0,24,3,3,21,1,0,26,0,1,19,3,2,13,1,0,12,4,2,5,1,3,3,0,0,0,1,1,25,0,3,15,0,0,16,0,1,28,0,0,14,2,0,2,0,1,20,0,1,4,1,0,10,0,0,22,0,0,11,0,2,6,1,0,18,2,1,17,2,0
33,2,1,1,23,1,1,19,0,2,22,2,0,11,1,3,5,0,0,20,5,0,10,1,0,9,0,1,15,0,3,12,-1,-1,24,-1,-1,16,5,3,25,0,0,17,0,0,21,1,2,0,-1,-1,6,0,0,18,2,4,8,2,2,13,0,0,4,1,1,7,2,0,27,1,0,3,1,0,26,-1,-1,14,0,1,28,0,3,1,2,0
34,15,0,1,19,0,0,13,1,2,23,0,0,20,3,3,4,1,0,16,0,5,24,0,0,9,1,1,3,2,2,21,4,0,26,3,0,8,6,5,11,1,1,10,1,0,0,5,2,2,1,0,22,0,0,17,3,0,27,3,0,7,1,1,28,0,1,25,2,0,1,0,1,5,0,0,12,4,5,18,1,1,14,1,0,6,1,1
35,17,1,1,8,1,1,16,2,2,28,4,0,12,0,3,21,0,0,18,3,5,22,1,1,4,0,1,9,1,2,20,0,1,23,1,2,2,3,5,0,1,1,13,0,0,6,3,2,1,0,1,25,0,1,7,3,1,5,1,4,26,0,0,15,0,1,27,0,0,11,0,0,19,1,0,3,5,0,24,1,0,14,2,1,10,1,0
36,27,0,1,24,1,1,10,0,2,23,0,0,21,2,3,16,1,0,18,3,5,19,1,1,15,0,1,28,1,2,12,5,0,20,3,2,6,0,4,9,1,0,25,1,0,5,3,4,22,0,0,17,0,0,13,2,1,4,1,4,7,0,1,0,0,0,1,2,0,2,0,0,3,0,0,11,0,5,26,1,1,14,2,0,8,1,0
37,26,3,1,27,1,1,12,2,1,16,2,2,2,3,1,23,1,0,5,2,1,7,0,0,28,1,1,3,1,2,19,0,0,15,1,2,22,0,4,20,0,1,0,0,0,1,4,2,21,1,0,9,0,0,17,4,1,25,0,0,18,1,0,6,0,1,13,2,0,8,1,0,24,0,1,14,1,0,11,1,0,10,0,3,4,1,1
38,1,3,1,26,1,1,24,1,2,3,1,1,2,3,3,23,1,0,6,0,1,5,0,0,17,0,0,15,3,2,25,5,1,10,5,2,12,5,0,7,0,0,11,1,0,20,0,2,8,0,0,9,1,1,21,2,5,27,2,0,4,0,0,22,1,0,28,2,0,0,0,0,16,0,0,14,1,2,18,0,0,13,3,0,19,1,0
40,3,0,0,6,1,1,14,3,5,26,4,0,5,3,3,0,1,0,17,2,3,28,0,0,21,1,1,2,1,3,20,3,0,10,3,2,9,3,4,12,1,1,16,1,0,23,1,2,24,0,1,7,1,1,25,4,2,11,4,4,4,1,0,1,0,0,18,1,0,15,0,0,8,0,0,19,2,0,27,1,0,13,4,4,22,1,0
41,7,0,0,23,0,1,16,3,2,11,2,0,25,1,3,17,1,0,12,4,3,2,0,0,13,1,1,6,2,3,18,5,0,24,0,0,5,3,3,14,0,0,4,1,0,0,3,5,3,0,0,27,1,0,9,5,0,26,4,4,19,1,0,1,0,0,21,0,0,15,1,0,22,1,0,8,3,5,10,1,1,20,4,0,28,0,0
43,13,2,0,12,0,1,17,4,2,26,0,1,20,2,3,9,1,0,11,5,5,15,0,0,0,1,1,25,0,2,7,1,0,22,0,2,10,5,4,4,0,1,3,0,0,6,3,3,1,1,1,5,0,0,14,1,3,16,1,4,18,0,0,8,1,1,23,2,2,21,0,0,19,1,0,2,1,5,27,1,0,28,1,1,24,0,0
44,24,2,0,17,1,0,4,0,2,15,2,1,28,0,3,21,1,0,11,3,5,9,0,0,18,0,1,3,0,1,13,5,0,26,4,2,16,4,4,6,1,1,20,1,0,25,1,5,2,0,0,23,0,0,8,3,4,10,5,5,12,1,1,14,1,1,7,2,0,27,0,0,5,1,1,22,0,2,1,0,1,0,2,1,19,1,1
45,4,3,1,5,0,1,10,1,2,19,1,0,6,2,3,21,0,0,23,0,5,12,0,1,28,0,1,25,1,2,0,0,0,18,0,2,14,2,4,24,1,0,16,1,0,20,0,2,9,1,0,15,0,0,11,3,3,27,2,5,26,1,1,7,1,0,3,0,0,8,1,0,17,0,1,22,0,3,2,0,1,1,4,2,13,1,1
46,8,2,1,15,0,1,0,2,5,13,1,1,9,2,3,28,0,0,27,5,5,16,0,0,4,1,1,17,0,2,7,1,0,11,0,2,21,1,4,20,0,0,18,1,0,25,1,1,23,1,0,19,0,0,6,3,3,3,4,4,24,1,0,14,1,0,26,0,0,5,1,0,12,0,0,10,1,1,22,1,0,2,1,0,1,0,0
47,14,3,1,9,0,1,5,1,0,25,2,1,18,3,1,23,1,0,26,0,3,0,0,0,16,0,0,28,2,1,24,0,0,20,3,2,4,0,5,6,1,0,22,0,1,27,0,2,3,0,1,7,0,1,21,5,4,1,3,4,19,1,0,8,0,1,12,1,0,10,0,0,2,0,1,15,0,5,17,0,0,13,2,0,11,0,1
48,18,1,1,11,0,1,17,4,2,26,0,0,22,0,3,5,0,0,0,2,3,23,0,0,3,1,0,21,3,2,25,4,0,12,0,2,6,1,5,7,1,1,24,0,0,20,0,3,15,0,1,1,0,1,14,3,2,13,0,4,27,0,1,2,1,1,9,2,1,19,0,0,16,1,1,10,1,0,4,1,1,28,0,1,8,1,1
49,12,1,0,2,0,1,5,3,2,11,2,1,4,0,3,7,1,1,20,4,4,6,0,0,18,1,0,21,0,2,13,4,0,14,1,5,16,0,4,1,1,0,25,0,0,19,0,3,3,0,0,10,0,1,28,5,0,27,0,4,23,0,0,15,1,0,9,2,2,24,0,0,0,0,0,26,1,3,8,0,1,17,0,1,22,1,0
52,9,1,1,19,1,1,17,2,2,4,4,0,20,3,3,23,1,0,25,-1,-1,13,0,0,2,0,1,27,1,2,3,3,0,6,2,2,1,4,1,0,1,0,15,1,0,21,0,1,10,0,1,12,0,1,28,-1,-1,16,0,4,5,1,1,14,0,1,18,2,0,11,1,0,8,0,1,24,5,5,22,1,0,7,0,1,26,0,0
53,6,2,0,26,1,1,24,4,5,19,0,0,14,1,3,25,1,0,15,0,3,10,0,1,18,0,1,13,1,3,8,1,0,5,1,2,11,6,4,20,1,1,4,0,0,2,3,2,23,1,1,3,1,0,21,5,2,12,2,4,22,0,1,9,0,1,7,0,2,0,0,1,16,0,1,1,2,5,17,1,1,28,1,1,27,0,0
54,10,1,1,16,1,1,21,3,1,22,0,1,17,3,1,5,1,0,12,5,3,11,0,0,2,0,1,28,1,2,9,4,0,15,4,5,24,1,4,27,0,1,14,0,0,8,5,3,13,1,1,26,0,1,4,1,1,23,1,4,20,0,1,3,0,1,1,1,0,7,0,0,18,1,0,19,3,3,0,1,0,6,0,1,25,2,1
56,24,2,2,7,1,1,6,1,2,21,3,0,5,1,3,20,0,0,22,5,5,11,0,0,8,1,0,12,2,2,13,0,0,4,2,2,23,5,5,17,0,0,28,0,0,27,2,5,0,1,0,2,0,0,15,3,3,16,0,4,19,1,0,26,0,1,3,2,1,1,0,0,9,0,1,18,3,5,10,0,0,14,3,1,25,0,0
57,13,3,1,14,1,0,28,3,2,16,4,1,24,3,1,2,1,0,15,4,5,7,0,0,27,1,0,22,2,2,17,3,0,3,4,5,5,1,3,20,1,1,10,0,0,1,2,2,23,1,1,9,1,1,0,2,5,6,0,0,19,0,1,21,1,0,26,2,1,4,1,0,12,1,0,25,4,5,18,0,0,8,1,1,11,0,0
58,4,0,0,26,1,1,0,2,5,20,0,0,22,0,3,13,0,0,27,3,5,15,0,0,19,0,0,28,2,2,8,1,0,6,3,2,16,1,1,25,0,0,24,0,0,2,0,2,18,1,0,9,1,0,23,2,2,7,5,3,21,0,0,14,1,1,11,0,0,5,1,0,10,0,1,1,0,5,3,1,0,17,2,1,12,1,1
62,19,2,1,25,1,1,12,0,2,7,0,0,9,3,3,22,0,0,27,3,5,2,0,0,11,0,1,4,1,2,26,2,0,1,5,2,23,0,3,20,0,0,14,0,0,5,4,1,15,0,0,28,-1,-1,10,1,2,13,2,0,18,0,1,3,1,1,0,0,0,17,0,0,24,1,0,6,3,2,21,0,0,16,2,2,8,0,0
63,9,1,1,2,1,1,12,4,2,22,3,0,18,2,3,13,0,1,25,5,5,21,0,0,28,-1,-1,14,1,2,1,1,0,17,1,2,24,0,4,7,1,0,5,0,0,0,5,0,26,0,1,15,0,1,4,3,3,19,0,4,3,1,0,11,0,0,10,0,0,23,1,0,6,0,1,8,1,4,16,0,1,20,4,1,27,0,1
66,10,1,1,12,1,1,24,3,2,0,1,2,19,1,3,2,1,0,18,1,3,27,1,0,22,0,1,14,1,2,5,1,0,15,2,2,17,5,3,21,1,0,8,1,0,26,3,4,11,1,0,9,0,1,13,2,0,4,3,5,28,-1,-1,23,1,0,3,1,0,7,0,1,6,1,0,1,4,3,25,1,1,16,0,2,20,1,0
